language,glottocode,family,area,longitude,latitude,Rec.P,RecRef.I,RecRef.D,ContQInitial,ContQNonInitial,NumNoun,NounNum,DegWAdj,AdjDegW,GenN,NGen,AdjN,NAdj,PossAff.P,PossPre,PossSuff,ComInst,NPconj,NVconj,DefArt,IndefArt,PronomS,IndefPron,PronDem,DemDis,PronAdnDem,IntRef,GenPron,Gender,Gender.n,NegMorph,NPlural,OrdNum,DistNum,AdpN,DemN,NegV,OXV,RelN,Passive,Optative,Prohibitive,Imperative,AdpPM,PolarQ,PossClass,PossLocus,Reduplication,Future,Past,Aspect,Vper,SOV,Head.driven.agr,Construct.state,Juxtaposition,Governed,Mod.headed.poss.agr,Linker,Incorporation,Dep.driven.agr,Pronominal.agr,Anti.const.state.agr,Mod.governed.adp,External.driven.agr,External.Poss,Bare.noun,Nominalizer,Agr.Number,Agr.Gender,Agr.Case,Agr.State,Agr.none,Agr.Person,Agr.Role,NPHeadlessness,ClausePosition,NumClass.n,Alignment,VInflCat
Abkhaz,abkh1244,Abkhazian-Ubykh,universal,41,43.08333333,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,Differentiation,And different from with,Identity,Definite word distinct from demonstrative,Indefinite word same as one,Subject affixes on verb,Special,NA,Twoway contrast,Identical,Differentiated,In 3rd person  1st andor 2nd person,Semantic,Three,Negative affix,Plural suffix,Firstoneth twoth threeth,Marked by mixed or other strategies,Postpositions,DemonstrativeNoun,Type 3  Type 4,XOV,Relative clauseNoun,Absent,Inflectional optative present,Special imperative  normal negative,Second singular and second plural,Pronouns and nouns,No question particle,No possessive classification,Head marking,Productive full and partial reduplication,Inflectional future exists,Present no remoteness distinctions,Grammatical marking,Both the A and P arguments,SOV,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,0,SvAtrvP,high
Alamblak,alam1246,Sepik Hill,universal,143.3333333,-4.666666667,NA,NA,NA,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,NA,NA,Differentiation,And different from with,Differentiation,Definite word distinct from demonstrative,No indefinite but definite article,Subject affixes on verb,NA,Related by gender markers,Twoway contrast,Identical,Identical,3rd person singular only,Semantic,Two,Negative particle,Plural clitic,First twoth threeth,NA,Postpositions,DemonstrativeNoun,NegV,No dominant order,Relative clauseNoun,Absent,Inflectional optative absent,Special imperative  special negative,Second singular and second plural,No person marking,No question particle,No possessive classification,Dependent marking,Productive full and partial reduplication,Inflectional future exists,Present 23 remoteness distinctions,Grammatical marking,Both the A and P arguments,SOV,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,flexiblerelational,0,SvAtrvP,medium
Amele,amel1241,Croisilles,universal,145.5833333,-5.25,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,Differentiation,And identical to with,Differentiation,No definite but indefinite article,Indefinite word distinct from one,NA,Genericnounbased,Unrelated,Threeway contrast,Identical,Identical,No gender distinctions,No gender,None,Negative particle,Mixed morphological plural,Firstoneth twoth threeth,No distributive numerals,Postpositions,NounDemonstrative,OptDoubleNeg,XOV,NounRelative clause,Absent,Inflectional optative absent,Special imperative  special negative,No secondperson imperatives,No person marking,Final,More than five classes,Dependent marking,Productive full and partial reduplication,Inflectional future exists,Present 23 remoteness distinctions,No grammatical marking,Both the A and P arguments,SOV,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,fixedpremain,0,SvAtrvP,low
Amharic,amha1245,West Semitic,universal,38,10,NA,NA,NA,FALSE,TRUE,TRUE,FALSE,NA,NA,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,NA,And different from with,NA,Definite word distinct from demonstrative,Indefinite word same as one,Subject affixes on verb,NA,NA,NA,NA,Identical,In 3rd person  1st andor 2nd person,Semantic and formal,Two,Double negation,Plural suffix,NA,Marked by reduplication,No dominant order,DemonstrativeNoun,ObligDoubleNeg,NA,Relative clauseNoun,Present,NA,Special imperative  special negative,Second singular and second plural,Pronouns only,NA,No possessive classification,NA,Productive full and partial reduplication,No inflectional future,Present no remoteness distinctions,No grammatical marking,Both the A and P arguments,SOV,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,OK,NA,0,SvAtrxP,low
Amur Nivkh,gily1242,NA,universal,142,53.33333333,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,NA,NA,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,Differentiation,NA,Differentiation,NA,NA,Optional pronouns in subject position,Interrogativebased,Related for nonhuman reference,Twoway contrast,Different inflection,NA,No gender distinctions,No gender,None,Negative affix,Plural suffix,First two three,Marked by mixed or other strategies,Postpositions,DemonstrativeNoun,OptDoubleNeg,NA,Relative clauseNoun,Absent,Inflectional optative absent,NA,Second singular and second plural,Pronouns only,Final,NA,Head marking,Full reduplication only,Inflectional future exists,No past tense,No grammatical marking,No person marking,SOV,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,SvAtrvP,medium
Apurinã,apur1254,Apurina-Piro-Iñapari,universal,-67,-9,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,NA,NA,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,NA,NA,Both expressed by juxtaposition,No definite or indefinite article,No definite or indefinite article,Subject affixes on verb,NA,Related by gender markers,Twoway contrast,Identical,Differentiated,3rd person singular only,Semantic and formal,Two,Negative particle,Plural suffix,None,NA,Postpositions,DemonstrativeNoun,NegV,No dominant order,NounRelative clause,Present,Inflectional optative absent,NA,Second plural,No adpositions,No question particle,No possessive classification,Head marking,No productive reduplication,Inflectional future exists,No past tense,No grammatical marking,Both the A and P arguments,SVO,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,SvAtrvP,high
Awa-Cuaiquer,awac1239,NA,universal,-78.25,1.5,NA,NA,NA,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,NA,NA,NA,NA,NA,No definite or indefinite article,No definite or indefinite article,Subject affixes on verb,Interrogativebased,Related for nonhuman reference,NA,NA,Differentiated,No gender distinctions,No gender,None,Double negation,Plural suffix,None,NA,Postpositions,DemonstrativeNoun,ObligDoubleNeg,XOV,NA,Absent,Inflectional optative absent,Special imperative  special negative,Second singular and second plural,No person marking,Final,No possessive classification,Dependent marking,No productive reduplication,Inflectional future exists,Present no remoteness distinctions,Grammatical marking,A or P argument,SOV,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SvAtrxP,medium
Bagirmi,bagi1246,NA,universal,16,11.66666667,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,NA,NA,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,Differentiation,NA,Differentiation,Definite word distinct from demonstrative,No indefinite but definite article,NA,Genericnounbased,Unrelated,NA,NA,Identical,No gender distinctions,No gender,None,Negative particle,Plural clitic,NA,NA,Prepositions,NounDemonstrative,VNeg,VOX,NounRelative clause,Absent,Inflectional optative absent,Normal imperative  normal negative,No secondperson imperatives,Pronouns only,Final,No possessive classification,No marking,Full reduplication only,No inflectional future,No past tense,Grammatical marking,Both the A and P arguments,SVO,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mixed,medium
Barasana-Eduria,bara1380,NA,universal,-70.66666667,-0.166666667,NA,NA,NA,TRUE,FALSE,TRUE,FALSE,NA,NA,TRUE,FALSE,TRUE,TRUE,TRUE,NA,NA,Identity,NA,NA,NA,NA,Subject affixes on verb,NA,Related to remote demonstratives,Threeway contrast,Identical,NA,3rd person singular only,Semantic,Three,Negative affix,Plural suffix,None,NA,Postpositions,DemonstrativeNoun,VNeg,OXV,NounRelative clause,Absent,Inflectional optative absent,Normal imperative  normal negative,Second person numberneutral,No person marking,No question particle,Two classes,Head marking,No productive reduplication,No inflectional future,Present 23 remoteness distinctions,No grammatical marking,Only the A argument,No dominant order,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SvAtrxP,low
Basque,basq1248,NA,universal,-3,43,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,NA,NA,Differentiation,And different from with,Identity,Definite word distinct from demonstrative,Indefinite word same as one,Subject affixes on verb,Interrogativebased,Related for all demonstratives,Threeway contrast,Identical,Differentiated,No gender distinctions,No gender,None,Negative particle,Plural clitic,First twoth threeth,Marked by suffix,Postpositions,NounDemonstrative,NegV,XOV,Relative clauseNoun,Present,Inflectional optative absent,Normal imperative  normal negative,Second singular and second plural,No person marking,Other position,No possessive classification,Dependent marking,Productive full and partial reduplication,Inflectional future exists,Present no remoteness distinctions,Grammatical marking,Both the A and P arguments,SOV,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,SvPxAtr,low
