language,time,glottocode,area,family,latitude,longitude,ComInst,NPconj,NVconj,DefArt,IndefArt,PronomS,IndefPron,PronDem,DemDis,PronAdnDem,IntRef,GenPron,Gender,Gender.n,NegMorph,NPlural,OrdNum,DistNum,AdjNoun,AdpN,DegWordAdj,DemN,GenN,NegV,NumNoun,OXV,RelN,Passive,Rec,Optative,Prohibitive,Imperative,AdpPM,NumNoun,PolarQ,PossClass,PossAff,PossLocus,Reduplication,Future,Past,Aspect,Vper,SOV,NPAgrCat,NPHeadlessness,ClausePosition,NumClass.n,NPMarking,Alignment,VInflCat
Old Akkadian,1,akka1240,1,East Semitic,33.1,44.1,Differentiation,And different from 'with',Identity,No definite or indefinite article,No definite or indefinite article,Optional pronouns in subject position,Interrogative-based,Related to remote demonstratives,Two-way contrast,Identical,Identical,In 3rd person + 1st and/or 2nd person,Semantic and formal,Two,Negative particle,Plural suffix,"First/one-th, two-th, three-th",NA,Noun-Adjective,Prepositions,NA,Noun-Demonstrative,Noun-Genitive,NegV,Numeral-Noun,OXV,Noun-Relative clause,Present,Distinct from reflexive,Inflectional optative present,Special imperative + special negative,Second singular and second plural,No person marking,Initial interrogative phrase,No question particle,No possessive classification,Possessive suffixes,Double marking,Productive full and partial reduplication,No inflectional future,No past tense,Grammatical marking,Only the A argument,SOV,"Case, Number, Gender",OK,flexible-relational,0,Head-driven agr. + Construct state + Juxtaposition,S=Atr≠P,low
Amorite,2,amor1239,1,Northwest Semitic,34.71,40.72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,In 3rd person + 1st and/or 2nd person,Semantic and formal,Two,NA,Plural stem change,NA,NA,NA,NA,NA,NA,Noun-Genitive,NA,NA,NA,NA,Present,NA,Inflectional optative present,NA,Second singular,NA,NA,NA,NA,Possessive suffixes,Double marking,NA,NA,"Present, no remoteness distinctions",NA,Only the A argument,NA,Gender,NA,NA,NA,Head-driven agr. + Construct state,S=Atr≠P,low
Eblaite,3,ebla1238,1,East Semitic,35.8,36.8,Differentiation,And different from 'with',Identity,No definite or indefinite article,No definite or indefinite article,Optional pronouns in subject position,Interrogative-based,Related to remote demonstratives,Two-way contrast,Identical,Identical,In 3rd person + 1st and/or 2nd person,Semantic and formal,Two,Negative particle,Plural suffix,"First/one-th, two-th, three-th",NA,Noun-Adjective,Prepositions,NA,Noun-Demonstrative,Noun-Genitive,NegV,Numeral-Noun,OXV,Noun-Relative clause,Present,Distinct from reflexive,Inflectional optative present,Special imperative + special negative,Second singular and second plural,No person marking,Initial interrogative phrase,No question particle,No possessive classification,Possessive suffixes,Double marking,Productive full and partial reduplication,No inflectional future,No past tense,Grammatical marking,Only the A argument,SOV,"Case, Number, Gender",OK,flexible-relational,0,Head-driven agr. + Construct state + Juxtaposition,S=Atr≠P,low
Old Assyrian,4,akka1240,1,East Semitic,35.88,40.95,Identity,And different from 'with',Identity,No definite or indefinite article,No definite or indefinite article,Optional pronouns in subject position,Interrogative-based,Unrelated,No distance contrast,Identical,Identical,In 3rd person + 1st and/or 2nd person,Semantic and formal,Two,Negative particle,Plural suffix,"First/one-th, two-th, three-th",Marked by mixed or other strategies,Noun-Adjective,Prepositions,NA,Noun-Demonstrative,Noun-Genitive,NegV,Numeral-Noun,No dominant order,Noun-Relative clause,Present,Mixed,Inflectional optative present,Special imperative + special negative,Second singular and second plural,Pronouns only,Initial interrogative phrase,No question particle,No possessive classification,Possessive suffixes,Double marking,Productive full and partial reduplication,No inflectional future,No past tense,No grammatical marking,Only the A argument,SOV,NA,OK,flexible-relational,0,Head-driven agr. + Construct state + Juxtaposition,S=Atr≠P,low
Old Babylonian,5,akka1240,1,East Semitic,32.61,44.61,Differentiation,And different from 'with',Identity,No definite or indefinite article,No definite or indefinite article,Optional pronouns in subject position,Interrogative-based,Related to remote demonstratives,Two-way contrast,Identical,Identical,In 3rd person + 1st and/or 2nd person,Semantic and formal,Two,Negative particle,Plural suffix,"First/one-th, two-th, three-th",NA,Noun-Adjective,Prepositions,NA,Noun-Demonstrative,Noun-Genitive,NegV,Numeral-Noun,OXV,Noun-Relative clause,Present,Distinct from reflexive,Inflectional optative present,Special imperative + special negative,Second singular and second plural,No person marking,Initial interrogative phrase,No question particle,No possessive classification,Possessive suffixes,Double marking,Productive full and partial reduplication,No inflectional future,No past tense,Grammatical marking,Only the A argument,SOV,"Case, Number, Gender",OK,flexible-relational,0,Head-driven agr. + Construct state + Juxtaposition,S=Atr≠P,low
Middle Babylonian,6,akka1240,1,East Semitic,32.75,44.51,Differentiation,And different from 'with',Identity,No definite or indefinite article,No definite or indefinite article,Optional pronouns in subject position,Interrogative-based,Related to remote demonstratives,Two-way contrast,Identical,Identical,In 3rd person + 1st and/or 2nd person,Semantic and formal,Two,Negative particle,Plural suffix,"First/one-th, two-th, three-th",NA,Noun-Adjective,Prepositions,NA,Noun-Demonstrative,Noun-Genitive,NegV,Numeral-Noun,OXV,Noun-Relative clause,Present,Distinct from reflexive,Inflectional optative present,Special imperative + special negative,Second singular and second plural,No person marking,Initial interrogative phrase,No question particle,No possessive classification,Possessive suffixes,Double marking,Productive full and partial reduplication,No inflectional future,No past tense,Grammatical marking,Only the A argument,SOV,"Case, Number, Gender",OK,flexible-relational,0,Head-driven agr. + Construct state + Juxtaposition,S=Atr≠P,low
Middle Assyrian,7,akka1240,1,East Semitic,36.21,41.15,Identity,And different from 'with',Identity,No definite or indefinite article,No definite or indefinite article,Optional pronouns in subject position,Interrogative-based,Unrelated,No distance contrast,Identical,Identical,In 3rd person + 1st and/or 2nd person,Semantic and formal,Two,Negative particle,Plural suffix,"First/one-th, two-th, three-th",Marked by mixed or other strategies,Noun-Adjective,Prepositions,NA,Noun-Demonstrative,Noun-Genitive,NegV,Numeral-Noun,No dominant order,Noun-Relative clause,Present,Mixed,Inflectional optative present,Special imperative + special negative,Second singular and second plural,Pronouns only,Initial interrogative phrase,No question particle,No possessive classification,Possessive suffixes,Double marking,Productive full and partial reduplication,No inflectional future,No past tense,No grammatical marking,Only the A argument,SOV,NA,OK,flexible-relational,0,Head-driven agr. + Construct state + Juxtaposition,S=Atr≠P,low
Ugaritic,8,ugar1238,1,Northwest Semitic,35.6,35.78,NA,And different from 'with',Identity,No definite or indefinite article,No definite or indefinite article,Subject affixes on verb,Interrogative-based,Unrelated,Two-way contrast,Identical,NA,In 3rd person + 1st and/or 2nd person,Semantic and formal,Two,NA,Plural suffix,"First, two, three",Marked by suffix,Noun-Adjective,Prepositions,NA,Noun-Demonstrative,Noun-Genitive,NA,NA,NA,NA,Present,Identical to reflexive,Inflectional optative present,Special imperative + special negative,Second singular and second plural,NA,NA,NA,NA,Possessive suffixes,Double marking,Productive full and partial reduplication,No inflectional future,No past tense,Grammatical marking,Only the A argument,No dominant order,NA,OK,flexible-adjacent,NA,Head-driven agr. + Construct state,S=Atr≠P,low
Phoenician,9,phoe1239,1,Northwest Semitic,34.12,35.65,Differentiation,And different from 'with',Identity,Definite affix,"No indefinite, but definite article",Subject affixes on verb,Interrogative-based,Related to remote demonstratives,Two-way contrast,Identical,NA,In 3rd person + 1st and/or 2nd person,Semantic and formal,Two,Negative particle,Plural suffix,"First, two, three",NA,Noun-Adjective,Prepositions,NA,Noun-Demonstrative,Noun-Genitive,NegV,NA,NA,Noun-Relative clause,Present,Identical to reflexive,Inflectional optative present,Special imperative + special negative,Second singular and second plural,Pronouns only,Initial interrogative phrase,NA,NA,Possessive suffixes,Double marking,Productive full and partial reduplication,No inflectional future,"Present, no remoteness distinctions",Grammatical marking,"A obligatory, P optional",VSO,"Gender,Number",OK,NA,NA,Head-driven agreement,S=Atr=P,low
Neo-Babylonian,10,akka1240,1,East Semitic,32.5,44.87,Differentiation,And different from 'with',Identity,No definite or indefinite article,No definite or indefinite article,Optional pronouns in subject position,Interrogative-based,Related to remote demonstratives,Two-way contrast,Identical,Identical,In 3rd person + 1st and/or 2nd person,Semantic and formal,Two,Negative particle,Plural suffix,"First/one-th, two-th, three-th",NA,Noun-Adjective,Prepositions,NA,Noun-Demonstrative,Noun-Genitive,NegV,Numeral-Noun,OXV,Noun-Relative clause,Present,Distinct from reflexive,Inflectional optative present,Special imperative + special negative,Second singular and second plural,No person marking,Initial interrogative phrase,No question particle,No possessive classification,Possessive suffixes,Double marking,Productive full and partial reduplication,No inflectional future,No past tense,Grammatical marking,Only the A argument,SOV,"Case, Number, Gender",OK,flexible-relational,0,Head-driven agr. + Construct state + Juxtaposition,S=Atr≠P,low
