"","language","glottocode","family","area","longitude","latitude","Rec.P","RecRef.I","RecRef.D","ContentQInitial","ContentQNonInitial","NumNoun","NounNum","DegWordAdj","AdjDegWord","GenN","NGen","AdjNoun","NounAdj","PossAff.P","PossPre","PossSuff","ComInst","NPconj","NVconj","DefArt","IndefArt","PronomS","IndefPron","PronDem","DemDis","PronAdnDem","IntRef","GenPron","Gender","Gender.n","NegMorph","NPlural","OrdNum","DistNum","AdpN","DemN","NegV","OXV","RelN","Passive","Optative","Prohibitive","Imperative","AdpPM","PolarQ","PossClass","PossLocus","Reduplication","Future","Past","Aspect","Vper","SOV","Head.driven.agr","Juxtaposition","Governed","Cons.state","agr.class","mixed","Agr.Gender","Agr.Number","Agr.State","Agr.Case","Agr.Def","Agr.none","NPHeadlessness","ClausePosition","NumClass.n","Alignment","VInflCat"
"1","Achaemenid Elamite","elam1244","Elamite","anea",48.23,31.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FALSE","TRUE","FALSE","TRUE",NA,NA,NA,NA,NA,"Identity","Definite affix","No indefinite but definite article","Subject affixes on verb","Special","Related for all demonstratives","Twoway contrast","Identical","Differentiated","3rd person only but also nonsingular","Semantic and formal","Two","Negative particle","Plural suffix",NA,NA,NA,"NounDemonstrative","NegV",NA,"NounRelative clause",NA,"Inflectional optative absent","Special imperative  special negative","Second singular and second plural","No person marking",NA,NA,NA,"Productive full and partial reduplication",NA,NA,NA,"Only the A argument","No dominant order","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE",NA,NA,NA,NA,NA,NA,"OK",NA,NA,"SvAtrxP","4"
"2","Amorite","amor1239","Northwest Semitic","anea",40.72,34.71,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FALSE","TRUE",NA,NA,"FALSE","FALSE","TRUE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"In 3rd person  1st andor 2nd person","Semantic and formal","Two",NA,"Plural stem change",NA,NA,NA,NA,NA,NA,NA,"Present","Inflectional optative present",NA,"Second singular",NA,NA,NA,"Double marking",NA,NA,"Present no remoteness distinctions",NA,"Only the A argument",NA,"TRUE","FALSE","FALSE","TRUE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE",NA,NA,NA,"SvAtrxP","4"
"3","Ancient South Arabian","sayh1236","Central Semitic","anea",45.35,15.42,NA,NA,NA,NA,NA,"TRUE","FALSE",NA,NA,"TRUE","FALSE",NA,NA,"FALSE","FALSE","TRUE","Identity","And different from with","Identity","Definite affix","Indefinite affix","Optional pronouns in subject position",NA,"Related to remote demonstratives","Twoway contrast",NA,NA,"In 3rd person  1st andor 2nd person","Semantic and formal","Two","Negative particle","Plural stem change","First two three",NA,"Prepositions","DemonstrativeNoun","NegV","VOX","NounRelative clause","Present","Inflectional optative present","Special imperative  normal negative",NA,"Pronouns only",NA,NA,"Double marking","No productive reduplication","No inflectional future","Present no remoteness distinctions","No grammatical marking","Only the A argument","VSO","TRUE","FALSE","FALSE","TRUE","FALSE","FALSE","TRUE","TRUE","TRUE","TRUE","FALSE","FALSE",NA,"fixedpostmain",NA,"SvAtrxP","4"
"4","Arabic","arab1395","Central Semitic","anea",33.12,29.63,"FALSE","FALSE","FALSE","TRUE","FALSE","TRUE","FALSE","FALSE","TRUE","FALSE","TRUE","FALSE","TRUE","FALSE","FALSE","TRUE","Differentiation","And different from with","Identity","Definite affix","Indefinite affix","Subject affixes on verb","Interrogativebased","Unrelated","Twoway contrast","Identical","Identical","In 3rd person  1st andor 2nd person","Semantic and formal","Two","Negative particle","Plural stem change","First two three","Marked by mixed or other strategies","Prepositions","NounDemonstrative","NegV","VOX","NounRelative clause","Present","Inflectional optative absent","Special imperative  normal negative","Second singular and second plural","Pronouns only","Initial","No possessive classification","Double marking","Productive full and partial reduplication","No inflectional future","No past tense","Grammatical marking","Only the A argument","VSO","TRUE","FALSE","FALSE","TRUE","FALSE","FALSE","TRUE","TRUE","TRUE","TRUE","FALSE","FALSE","OK","flexiblerelational","0","SvAtrxP","4"
"5","Coptic","copt1239","Egyptian","anea",31,29.4,"TRUE","FALSE","TRUE","FALSE","TRUE","TRUE","FALSE",NA,NA,"FALSE","TRUE","FALSE","TRUE","FALSE","TRUE","FALSE",NA,"And identical to with","Identity","Definite word distinct from demonstrative","Indefinite word distinct from one","Obligatory pronouns in subject position","Genericnounbased","Unrelated","Threeway contrast","Different stem",NA,"In 3rd person  1st andor 2nd person","Semantic and formal","Two","Variation between negative word and affix","Plural word","First two three","Marked by reduplication","Prepositions","DemonstrativeNoun","NegV","XVO","NounRelative clause","Present","Inflectional optative present","Special imperative  special negative","Second person numberneutral","Pronouns only","Initial","No possessive classification","Dependent marking","Full reduplication only","Inflectional future exists","Present 23 remoteness distinctions","Grammatical marking","No person marking",NA,"TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","OK","fixedpostmain","0","SvAtrvP","4"
"6","Dumaitic North Arabian","duma1255","Central Semitic","anea",39.89,29.8,NA,NA,NA,NA,NA,"TRUE","FALSE",NA,NA,"FALSE","TRUE","FALSE","TRUE","FALSE","FALSE","TRUE","Differentiation","And different from with","Identity","Definite affix","No indefinite but definite article","Subject affixes on verb",NA,NA,NA,NA,NA,NA,"Semantic and formal","Two","Negative particle","Plural suffix",NA,NA,"Prepositions","NounDemonstrative","NegV",NA,"NounRelative clause",NA,NA,NA,"Second singular and second plural","Pronouns only",NA,NA,NA,NA,NA,NA,"Grammatical marking","A obligatory P optional","SVO","TRUE","FALSE","FALSE","TRUE","FALSE","FALSE","TRUE","TRUE","FALSE","FALSE","TRUE","FALSE",NA,NA,NA,NA,"3"
"7","Earlier Egyptian","egyp1246","Egyptian","anea",30.83,28.38,NA,NA,NA,"FALSE","TRUE","FALSE","TRUE",NA,NA,"FALSE","TRUE","FALSE","TRUE","FALSE","FALSE","TRUE",NA,NA,NA,"No definite or indefinite article","No definite or indefinite article","Subject affixes on verb",NA,"Unrelated","No distance contrast","Identical",NA,"In 3rd person  1st andor 2nd person","Semantic and formal","Two","Negative particle","Plural suffix",NA,NA,"Prepositions","NounDemonstrative","NegV",NA,"NounRelative clause","Present","Inflectional optative present","Normal imperative  special negative","Second singular and second plural","Pronouns only",NA,"No possessive classification","No marking","Productive full and partial reduplication","No inflectional future","No past tense","Grammatical marking","Only the A argument",NA,"TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","OK","flexibleadjacent",NA,"SvAtrvP","6"
"8","Eblaite","ebla1238","East Semitic","anea",36.8,35.8,"TRUE","FALSE","TRUE","TRUE","FALSE","TRUE","FALSE",NA,NA,"FALSE","TRUE","FALSE","TRUE","FALSE","FALSE","TRUE","Differentiation","And different from with","Identity","No definite or indefinite article","No definite or indefinite article","Optional pronouns in subject position","Interrogativebased","Related to remote demonstratives","Twoway contrast","Identical","Identical","In 3rd person  1st andor 2nd person","Semantic and formal","Two","Negative particle","Plural suffix","Firstoneth twoth threeth",NA,"Prepositions","NounDemonstrative","NegV","OXV","NounRelative clause","Present","Inflectional optative present","Special imperative  special negative","Second singular and second plural","No person marking","No question particle","No possessive classification","Double marking","Productive full and partial reduplication","No inflectional future","No past tense","Grammatical marking","Only the A argument","SOV","TRUE","TRUE","FALSE","TRUE","FALSE","FALSE","TRUE","TRUE","FALSE","TRUE","FALSE","FALSE","OK","flexiblerelational","0","SvAtrxP","4"
"9","Hasaitic North Arabian","hasa1249","Central Semitic","anea",49.27,25.79,NA,NA,NA,NA,NA,"TRUE","FALSE",NA,NA,"FALSE","TRUE","FALSE","TRUE","FALSE","FALSE","TRUE","Differentiation","And different from with","Identity","No definite or indefinite article","No definite or indefinite article","Subject affixes on verb",NA,NA,NA,NA,NA,NA,"Semantic and formal","Two","Negative particle","Plural suffix",NA,NA,"Prepositions","NounDemonstrative","NegV","No dominant order","NounRelative clause",NA,NA,NA,"Second singular and second plural","Pronouns only",NA,NA,NA,NA,NA,NA,"Grammatical marking","A obligatory P optional",NA,"TRUE","FALSE","FALSE","TRUE","FALSE","FALSE","TRUE","TRUE","FALSE","FALSE","TRUE","FALSE",NA,NA,NA,NA,"3"
"10","Hittite","hitt1242","Indo-European","anea",35,40,"TRUE","FALSE","TRUE","TRUE","FALSE","TRUE","FALSE",NA,NA,"TRUE","FALSE","FALSE","TRUE","FALSE","FALSE","TRUE","Identity","And different from with","Differentiation","No definite or indefinite article","No definite or indefinite article","Subject affixes on verb","Interrogativebased","Related to remote demonstratives","Threeway contrast","Identical","Differentiated","3rd person only but also nonsingular","Semantic and formal","Two","Negative particle","Plural suffix",NA,"Marked by suffix","Postpositions","DemonstrativeNoun","NegV",NA,"Correlative","Present","Inflectional optative absent","Special imperative  special negative","Second singular and second plural","Pronouns only","No question particle","No possessive classification","Dependent marking","No productive reduplication","No inflectional future","Present no remoteness distinctions","No grammatical marking","Only the A argument","SOV","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","TRUE","TRUE","FALSE","TRUE","FALSE","FALSE",NA,NA,"0","SvAtrxP","6"
