language,glottocode,family,area,longitude,latitude,Rec.P,RecRef.I,RecRef.D,ContQInitial,ContQNonInitial,NumNoun,NounNum,DegWAdj,AdjDegW,GenN,NGen,AdjN,NAdj,PossAff.P,PossPre,PossSuff,ComInst,NPconj,NVconj,DefArt,IndefArt,PronomS,IndefPron,PronDem,DemDis,PronAdnDem,IntRef,GenPron,Gender,Gender.n,NegMorph,NPlural,OrdNum,DistNum,AdpN,DemN,NegV,OXV,RelN,Passive,Optative,Prohibitive,Imperative,AdpPM,PolarQ,PossClass,PossLocus,Reduplication,Future,Past,Aspect,Vper,SOV,Head.driven.agr,Construct.state,Juxtaposition,Governed,Mod.headed.poss.agr,Linker,Incorporation,Dep.driven.agr,Pronominal.agr,Anti.const.state.agr,Mod.governed.adp,External.driven.agr,External.Poss,Bare.noun,Nominalizer,Agr.Number,Agr.Gender,Agr.Case,Agr.State,Agr.none,Agr.Person,Agr.Role,NPHeadlessness,ClausePosition,NumClass.n,Alignment,VInflCat
Amharic,amha1245,Semitic,semitic,38,10,NA,NA,NA,FALSE,TRUE,TRUE,FALSE,NA,NA,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,NA,And different from with,NA,Definite word distinct from demonstrative,Indefinite word same as one,Subject affixes on verb,NA,NA,NA,NA,Identical,In 3rd person  1st andor 2nd person,Semantic and formal,Two,Double negation,Plural suffix,NA,Marked by reduplication,No dominant order,DemonstrativeNoun,ObligDoubleNeg,NA,Relative clauseNoun,Present,NA,Special imperative  special negative,Second singular and second plural,Pronouns only,NA,No possessive classification,NA,Productive full and partial reduplication,No inflectional future,Present no remoteness distinctions,No grammatical marking,Both the A and P arguments,SOV,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,SvAtrxP,low
Chadian Arabic,chad1249,Semitic,semitic,20.83333333,13.83333333,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,Differentiation,And different from with,Differentiation,Definite affix,No indefinite but definite article,Mixed,NA,Third person pronouns and demonstratives are unrelated to demonstratives,Twoway contrast,Identical,Different,In 3rd person  1st andor 2nd person,Semantic and formal,Two,Negative particle,Mixed morphological plural,First twoth threeth,NA,Prepositions,NounDemonstrative,NegV,VOX,NounRelative clause,Present,Inflectional optative present,Special imperative  normal negative,Second singular and second plural,Pronouns only,NA,No possessive classification,No marking,NA,No inflectional future,Absent,Grammatical marking,Both the A and P arguments,SVO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chaldean Neo-Aramaic,chal1275,Semitic,semitic,43,36,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,Differentation,And different from with,Identity,Demonstrative word used as definite article,Indefinite word same as one,Subject affixes on verb,Genericnounbased,Related for all demonstratives,Twoway contrast,Identical,Identical,In 3rd person  1st andor 2nd person,Semantic and formal,Two,Negative particle,Plural suffix,First twoth threeth,NA,Prepositions,DemonstrativeNoun,NegV,VOX,NounRelative clause,Present,Inflectional optative absent,Special imperative  normal negative,Second singular and second plural,Pronouns only,NA,No possessive classification,Head marking,Productive full and partial reduplication,No inflectional future,Present no remoteness distinctions,No grammatical marking,Both the A and P arguments,SVO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cypriot Arabic,cypr1248,Semitic,semitic,33.5,35.25,NA,NA,NA,FALSE,TRUE,NA,NA,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,NA,And different from with,Identity,Definite affix,No indefinite but definite article,Subject pronouns obligatory,NA,Related for all demonstratives,No distance contrast,Identical,NA,In 3rd person  1st andor 2nd person,Semantic and formal,Two,Negative affix,Mixed morphological plural,NA,No distributive numerals,Prepositions,DemonstrativeNoun,NegV,NA,NA,Present,NA,NA,Second singular and second plural,Pronouns only,NA,Two classes,NA,NA,Inflectional future exists,Present no remoteness distinctions,Grammatical marking,Both the A and P arguments,SVO,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Egyptian Arabic,egyp1253,Semitic,semitic,31,30,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,Differentiation,And different from with,Identity,Definite affix,No indefinite but definite article,Subject affixes on verb,Genericnounbased,Related by gender markers,Twoway contrast,Identical,Identical,In 3rd person  1st andor 2nd person,Semantic and formal,Two,Negative particle,Mixed morphological plural,First twoth threeth,No distributive numerals,Prepositions,NounDemonstrative,OptDoubleNeg,VOX,NounRelative clause,Present,Inflectional optative absent,Special imperative  normal negative,Second singular and second plural,Pronouns only,Initial,No possessive classification,No marking,Productive full and partial reduplication,Inflectional future exists,Present no remoteness distinctions,Grammatical marking,Both the A and P arguments,SVO,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,mixed,medium
Gilit Mesopotamian Arabic,meso1252,Semitic,semitic,44,33,NA,NA,NA,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,Differentiation,And different from with,Identity,Definite affix,Indefinite word distinct from one,Subject affixes on verb,Genericnounbased,Related by gender markers,Twoway contrast,Identical,NA,In 3rd person  1st andor 2nd person,Semantic and formal,Two,Negative affix,Mixed morphological plural,First twoth threeth,NA,Prepositions,DemonstrativeNoun,NegV,VOX,NounRelative clause,Present,Inflectional optative absent,Special imperative  special negative,Second singular and second plural,Pronouns only,NA,No possessive classification,Dependent marking,Productive full and partial reduplication,Inflectional future exists,Absent,Grammatical marking,Both the A and P arguments,SVO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gulf Arabic,gulf1241,Semitic,semitic,49,26,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,Differentiation,And different from with,Identity,Definite affix,No indefinite but definite article,Subject affixes on verb,Genericnounbased,Third person pronouns and demonstratives are unrelated to demonstratives,Twoway contrast,Different stem,Identical,In 3rd person  1st andor 2nd person,Semantic and formal,Two,Negative particle,Mixed morphological plural,First twoth threeth,NA,Prepositions,Mixed,NegV,VOX,NounRelative clause,Present,Inflectional optative absent,Normal imperative  special negative,Second singular and second plural,Pronouns only,No question particle,No possessive classification,Dependent marking,NA,Inflectional future exists,Present no remoteness distinctions,No grammatical marking,Both the A and P arguments,SVO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Harari,hara1271,Semitic,semitic,42.16666667,9.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Productive full and partial reduplication,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hertevin,hert1241,Semitic,semitic,42.52,37.37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,TRUE,Differentation,And different from with,Identity,Demonstrative word used as definite article,No indefinite article but definite article,Initial interrogative phrase,NA,Third person pronouns and demonstratives are unrelated to demonstratives,Twoway contrast,Different stem,Identical,Gender distinctions in 3rd person singular only,Semantic and formal,Two,Absent,Plural suffix,First two three,Marked by reduplication,VOX,NounAdjective,Negative particle,VSO,NumeralNoun,Distinct from reflexive,Special imperative  normal negative,Second singular and second plural,No inflectional future,Pronouns only,Degree wordAdjective,No possessive classification,Dependent marking,Productive full and partial reduplication, 23 degrees of remoteness distinguished,Present,No grammatical marking,Subject affixes on verb,Inflectional optative absent,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA
Jabal Razih,jaba1234,Semitic,semitic,43.24,16.91,NA,NA,NA,TRUE,FALSE,TRUE,FALSE,NA,NA,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,NA,And different from with,Differentiation,Definite affix,No indefinite article but definite article,Subject affixes on verb,NA,Third person pronouns and demonstratives are unrelated to demonstratives,Twoway contrast,Identical,NA,In 3rd person  1st andor 2nd person,Semantic and formal,Two,Negative particle,Plural stem change,NA,NA,Prepositions,DemonstrativeNoun,NegV,VOX,NounRelative clause,Present,Inflectional optative present,Special imperative  normal negative,Second singular and second plural,Pronouns only,NA,No possessive classification,Dependent marking,Productive full and partial reduplication,Inflectional future exists,Absent,Grammatical marking,Only the A argument,VSO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
